"","intercept","r_squared","filter"
"1","log(goals - pk_standard), shots, x_g_expected, pos, squad, dist_standard",0.763182963465823,"goals > 1 & goals != pk_standard"
"2","log(goals - pk_standard), x_g_expected, pos, dist_standard, squad",0.762988626009989,"goals > 1 & goals != pk_standard"
"3","log(goals - pk_standard), x_g_expected, pos, dist_standard, squad",0.762988626009989,"goals > 1 & goals != pk_standard"
"4","log(goals - pk_standard), x_g_expected, pos, dist_standard, squad",0.762988626009989,"goals > 1 & goals != pk_standard"
"5","log(goals - pk_standard), x_g_expected, pos, dist_standard, squad",0.762988626009989,"goals > 1 & goals != pk_standard"
"6","log(goals - pk_standard), shots, pos, squad, dist_standard",0.762927449088199,"goals > 1 & goals != pk_standard"
"7","log(goals), shots, pos, squad, dist_standard",0.759957229606491,"goals > 1"
"8","log(goals - pk_standard), x_g_expected, pos, dist_standard, table_position",0.758009784679804,"goals > 1 & goals != pk_standard"
"9","log(goals), sot, pos, squad, dist_standard",0.757959232606703,"goals > 1"
"10","log(goals - pk_standard), x_g_expected, pos, dist_standard, squad_group",0.757917825493281,"goals > 1 & goals != pk_standard"
"11","log(goals), shots, pos, squad",0.735914286393341,"goals > 1"
"12","log(goals - pk_standard), shots, x_g_expected, pos, squad",0.735853046231181,"goals > 1 & goals != pk_standard"
"13","log(goals - pk_standard), x_g_expected, pos, dist_standard",0.73529308769179,"goals > 1 & goals != pk_standard"
"14","log(goals - pk_standard), shots, x_g_expected, pos, dist_standard",0.735115172988341,"goals > 1 & goals != pk_standard"
"15","sqrt(goals), shots, pos, squad",0.733612669844868,"goals > 1"
"16","goals, shots, pos, squad",0.731271807198443,"goals > 1"
"17","sqrt(goals), pos, squad",0.72344827186213,"goals > 1"
"18","log(goals), shots, pos, squad",0.705123838168598,"goals > 2"
"19","sqrt(goals), shots, pos",0.698173376655011,"goals > 1"
"20","sqrt(goals), shots, pos, sot",0.697670462587276,"goals > 1"
"21","sqrt(goals), shots, pos",0.683604215703628,"goals > 1 & shots > 10"
"22","sqrt(goals), shots, pos",0.672622183382159,"goals > 2"
"23","sqrt(goals), shots, pos",0.658424069052027,"none"
"24","sqrt(goals), shots, pos",0.577899871290462,"goals > 4"
"25","sqrt(goals), shots, pos",0.522142939459567,"goals > 1 & shots > 50"
